# Forced display names, tab separated:  <system>  <key>  <name>  [# note]
#
# SS's 'wor' name wins the region chain and sometimes holds junk (a sequel,
# a ROM hack, a truncation). The box is right; only the printed name is not.
# Found with name_audit.py, each one checked with inspect_meta.py.
#
# system	key	name	# what SS says instead

Atari2600	E.T. - The Extra-Terrestrial (USA)	E.T. - The Extra-Terrestrial	# 'E.T. - Pits Hack', a ROM hack
GAMEBOY	Magic Knight Rayearth (Japan) (SGB Enhanced)	Magic Knight Rayearth	# 'Mahou Kishi Rayearth 2nd. - The Missing Colors', the sequel
GAMEBOY	Megami Tensei Gaiden - Last Bible (Japan)	Megami Tensei Gaiden - Last Bible	# 'Meng Huan Zhi Xing', a Chinese title
GAMEBOY	Oni II - Oni Densetsu (Japan)	Oni II - Oni Densetsu	# 'Oni', the series name alone
GAMEBOY	Gegege no Kitarou - Youkai Souzoushu Arawaru! (Japan) (SGB Enhanced)	Gegege no Kitarou - Youkai Souzoushu Arawaru!	# 'Kitarou'
GAMEBOY	Bakuchou Retsuden Shou - Hyper Fishing (Japan) (SGB Enhanced)	Bakuchou Retsuden Shou - Hyper Fishing	# 'Shou Hyper Fish'
GAMEBOY	Kiteretsu Daihyakka - Bouken Ooedo Juraki (Japan)	Kiteretsu Daihyakka - Bouken Ooedo Juraki	# 'Kiteretu Zyuraki'
GAMEBOY	Kuma no Puutarou - Takara Sagashi da Ooiri Game Battle! (Japan) (SGB Enhanced)	Kuma no Puutarou - Takara Sagashi da Ooiri Game Battle!	# 'Kumano Putaru'
GAMEBOY	Sakigake!! Otoko Juku - Meioutou Kessen (Japan)	Sakigake!! Otoko Juku - Meioutou Kessen	# 'Otoko Jyuku'
GBC	Pac-Man - Special Color Edition (USA) (SGB Enhanced) (GB Compatible)	Pac-Man - Special Color Edition	# 'Pac-man', the base game
