#media	system	key	degrees (clockwise; -90 turns left)
box-2D	SNES	SD F-1 Grand Prix (Japan)	-90
box-2D	SNES	SD The Great Battle - Aratanaru Chousen (Japan)	90
box-2D	SNES	Same Game (Japan)	90
box-2D	SNES	Sangokushi Seishi - Tenbu Spirits (Japan)	-90
box-2D	SNES	Sanrio Shanghai (Japan)	-90
box-2D	SNES	Sanrio World Smash Ball! (Japan)	-90
box-2D	SNES	Seijuu Maden Beasts & Blades (Japan)	-90
box-2D	SNES	Sgt. Saunders' Combat! (Japan)	-90
box-2D	SNES	Shijou Saikyou no Quiz Ou Ketteisen Super (Japan)	-90
box-2D	SNES	Shodani Nintei - Shodan Pro Mahjong (Japan)	-90
box-2D	SNES	Snoopy Concert (Japan)	-90
box-2D	SNES	Song Master (Japan)	-90
box-2D	SNES	Soul & Sword (Japan)	-90
box-2D	SNES	Super Air Diver 2 (Japan) (En)	-90
box-2D	SNES	Super Bombliss (Japan) (En)	90
box-2D	SNES	Super F1 Circus 2 (Japan)	-90
box-2D	SNES	Super F1 Circus Gaiden (Japan)	-90
box-2D	SNES	Super Fire Pro Wrestling X Premium (Japan)	90
box-2D	SNES	Super Gussun Oyoyo 2 (Japan)	-90
box-2D	SNES	Super Jinsei Game 2 (Japan)	-90
box-2D	SNES	Super Jinsei Game 3 (Japan)	-90
box-2D	SNES	Super Loopz (Japan) (En)	-90
box-2D	SNES	Super Okumanchouja Game (Japan)	-90
box-2D	SNES	Super Robot Taisen EX (Japan)	-90
box-2D	SNES	Super Tetris 2 + Bombliss (Japan) (En)	-90
box-2D	SNES	Super Tetris 2 + Bombliss Gentei Ban (Japan) (En)	90
box-2D	SNES	Super Tetris 3 (Japan) (En)	-90
box-2D	SNES	Tales of Phantasia (Japan)	-90
box-2D	SNES	Tetris Battle Gaiden (Japan)	-90
box-2D	SNES	Tokoro's Mahjong (Japan)	-90
box-2D	SNES	Toride (Japan)	-90
box-2D	SNES	Touge Densetsu - Saisoku Battle (Japan)	-90
box-2D	SNES	Traverse - Starlight & Prairie (Japan)	-90
box-2D	SNES	Treasure Hunter G (Japan)	90
box-2D	SNES	Tsuri Tarou (Japan)	-90
box-2D	SNES	Uchuu Race - Astro Go! Go! (Japan) (En)	-90
box-2D	SNES	Umihara Kawase (Japan)	-90
box-2D	SNES	Wizap! - Ankoku no Ou (Japan)	-90
box-2D	SNES	Zan II Spirits (Japan)	-90
